frame,persons,mean_disp
0,16,0.0
5,16,2.009669542312622
10,17,2.705510377883911
15,18,2.8128550052642822
20,16,1.8553881645202637
25,16,2.305654287338257
30,16,2.3821256160736084
35,15,1.9736887216567993
40,15,2.3387439250946045
45,15,2.7656261920928955
50,15,2.5873475074768066
55,15,2.966489553451538
60,14,2.5747241973876953
65,14,2.60955548286438
70,16,3.490784168243408
75,18,3.6266212463378906
80,15,2.484804391860962
85,15,2.562225341796875
90,15,2.647597551345825
95,15,2.5353453159332275
100,15,2.7426416873931885
105,16,2.7203474044799805
110,17,2.342700481414795
115,16,2.148390054702759
120,16,2.029919385910034
125,16,2.429732322692871
130,16,2.1270017623901367
135,16,3.381337881088257
140,16,3.735687732696533
145,19,6.197974681854248
150,19,2.0143494606018066
155,19,2.1112282276153564
160,21,3.5727038383483887
165,21,2.416851282119751
170,20,2.122699499130249
175,17,1.9543513059616089
180,17,1.831673264503479
185,17,1.7180242538452148
190,19,2.7497928142547607
195,20,2.6454083919525146
200,19,2.9708619117736816
205,19,1.8502464294433594
210,19,1.8577102422714233
215,20,1.574013590812683
220,19,1.5962187051773071
225,18,2.1049602031707764
230,20,3.8161168098449707
235,18,2.1244943141937256
240,21,2.347532272338867
245,20,2.8609209060668945
250,21,3.386518955230713
255,21,1.8062547445297241
260,19,1.7477775812149048
265,20,1.9513269662857056
270,19,3.199528694152832
275,18,2.1820521354675293
280,17,1.902971625328064
285,18,1.9135998487472534
290,19,4.061445713043213
295,17,1.9170000553131104
300,17,2.151019334793091
305,17,2.010793924331665
310,16,1.9782781600952148
315,18,4.425001621246338
320,15,1.9006513357162476
325,16,3.0329928398132324
330,16,2.0038530826568604
335,16,1.723164677619934
340,16,1.7930866479873657
345,15,1.837806224822998
350,15,1.7456995248794556
355,15,1.9726006984710693
360,14,1.8094196319580078
365,16,4.314891338348389
370,17,1.5325074195861816
375,16,2.134533166885376
380,18,9.598146438598633
385,17,2.1533873081207275
390,18,3.182790756225586
395,18,1.4229025840759277
400,20,2.457828998565674
405,18,1.9872896671295166
410,16,1.9962319135665894
415,15,1.7498619556427002
420,16,3.6414856910705566
425,17,3.423685312271118
430,18,1.7736037969589233
435,17,1.4455525875091553
440,17,2.6833972930908203
445,17,2.585461378097534
450,17,2.209150552749634
455,17,1.7264795303344727
460,18,2.332561492919922
465,16,2.610706329345703
470,17,3.04229998588562
475,17,4.4932146072387695
480,20,3.9748120307922363
485,17,3.3148462772369385
490,17,4.651739597320557
495,17,5.863441467285156
500,19,9.66690731048584
505,19,14.455129623413086
510,17,10.116479873657227
515,17,12.953411102294922
520,17,15.033231735229492
525,11,16.445077896118164
530,14,24.088804244995117
535,17,16.400575637817383
540,10,14.97473430633545
545,13,23.46514892578125
550,10,19.411029815673828
555,8,21.353851318359375
560,6,14.701889038085938
565,7,41.20568084716797
570,6,14.226561546325684
575,6,16.872182846069336
580,3,8.112038612365723
585,1,6.821283340454102
590,1,8.851707458496094
595,1,7.749074935913086
600,2,11.41586971282959
605,1,5.649747371673584
610,1,9.789669036865234
615,0,0.0
620,0,0.0
625,16,0.0
630,18,2.9582271575927734
635,17,2.898609161376953
640,16,1.5265023708343506
645,16,2.0160818099975586
650,16,2.6615242958068848
655,17,1.9462203979492188
